"Event Category","Event Action","Event Label","Event Value","Custom Event Properties","Country","Client IP Country","User ID"
"stage (App)","clear","3003",,"{""last_level"":20}","jp","United States","0GAWHU"
"stage (App)","try","3001",,"{""last_level"":0}","kr","South Korea","QVG4VA"
"stage (App)","clear","2001",,"{""is_repeat_play"":true,""last_level"":20}","gb","United Kingdom","Z8V6G4"
"stage (App)","try","5001",,"{""last_level"":0}","kr","South Korea","9DBZF4"
"stage (App)","try","2001",,"{""last_level"":1}","kr","South Korea","CP70HJ"
"stage (App)","clear","2004",,"{""last_level"":20}","kr","South Korea","PM0JJX"
"stage (App)","try","2002",,"{""last_level"":0}","mx","Venezuela","PDLK2G"
"stage (App)","clear","2003",,"{""is_repeat_play"":true,""last_level"":20}","kr","South Korea","XLBCT8"
"stage (App)","clear","2011",,"{""last_level"":20}","kr","South Korea","9DBZF4"
"stage (App)","fail","2005",,"{""last_level"":15}","us","Philippines","4J9LQZ"
"stage (App)","try","2003",,"{""last_level"":0}","kr","South Korea","EWU9UU"
"stage (App)","clear","2003",,"{""is_repeat_play"":true,""last_level"":20}","kr","South Korea","JAFWYI"
"stage (App)","try","3006",,"{""last_level"":0}","kr","South Korea","R961XR"
"stage (App)","fail","2005",,"{""exit_type"":""voluntary_exit"",""last_level"":15}","us","Philippines","4J9LQZ"
"stage (App)","clear","2009",,"{""last_level"":20}","kr","South Korea","ER2PA7"
"stage (App)","try","2001",,"{""is_repeat_play"":true,""last_level"":0}","ru","Kazakhstan","1JKUDA"
"stage (App)","try","3010",,"{""is_repeat_play"":true,""last_level"":0}","de","Spain","OETCUD"
"stage (App)","try","2006",,"{""last_level"":0}","us","United States","G1V80N"
"stage (App)","clear","2003",,"{""is_repeat_play"":true,""last_level"":20}","ru","Russian Federation","W7DN4Y"
"stage (App)","clear","2004",,"{""last_level"":20}","kr","South Korea","650AYX"
"stage (App)","fail","2008",,"{""last_level"":11}","af","Saudi Arabia","2KS8GW"
"stage (App)","clear","2010",,"{""last_level"":20}","th","Thailand","536JQD"
"stage (App)","fail","2008",,"{""last_level"":12}","kr","South Korea","VOMQK1"
"stage (App)","clear","2001",,"{""is_repeat_play"":true,""last_level"":20}","us","United States","D6H4E8"
"stage (App)","try","2005",,"{""last_level"":0}","sg","Malaysia","DU74DL"
"stage (App)","fail","2015",,"{""last_level"":13}","kr","South Korea","BJROVQ"
"stage (App)","try","2001",,"{""last_level"":0}","us","India","S56Q3X"
"stage (App)","clear","2003",,"{""last_level"":20}","kr","South Korea","YV96SI"
"stage (App)","clear","2003",,"{""is_repeat_play"":true,""last_level"":20}","kr","South Korea","HA5CSX"
"stage (App)","try","2003",,"{""last_level"":0}","us","United States","0PZUIT"
"stage (App)","clear","2011",,"{""last_level"":20}","kr","South Korea","AL1YR0"
"stage (App)","try","3007",,"{""last_level"":0}","us","Malaysia","PRKO5Z"
"stage (App)","clear","2006",,"{""last_level"":20}","ru","Russian Federation","WVNIF5"
"stage (App)","clear","2002",,"{""is_repeat_play"":true,""last_level"":20}","us","Egypt","U8P8U5"
"stage (App)","clear","3014",,"{""last_level"":20}","tw","Taiwan Province Of China","WYJPS2"
"stage (App)","try","2002",,"{""last_level"":0}","br","Brazil","SUM7AL"
"stage (App)","clear","3005",,"{""last_level"":20}","kr","South Korea","E4ZP85"
"stage (App)","try","2006",,"{""last_level"":0}","kr","South Korea","COWRP8"
"stage (App)","clear","2013",,"{""last_level"":20}","id","Indonesia","O5YN3G"
"stage (App)","fail","2008",,"{""is_repeat_play"":true,""last_level"":2}","kr","South Korea","CIZVBT"
"stage (App)","fail","2008",,"{""exit_type"":""voluntary_exit"",""last_level"":2}","kr","South Korea","CIZVBT"
"stage (App)","fail","5001",,"{""last_level"":7}","kr","South Korea","PFO12G"
"stage (App)","fail","2003",,"{""last_level"":16}","kr","South Korea","VVK2Y2"
"stage (App)","clear","2001",,"{""last_level"":20}","mx","Venezuela","PDLK2G"
"stage (App)","clear","2009",,"{""is_repeat_play"":true,""last_level"":20}","kr","South Korea","5T3B0M"
"stage (App)","clear","2001",,"{""is_repeat_play"":true,""last_level"":20}","kr","South Korea","HY95NY"
"stage (App)","clear","3004",,"{""last_level"":20}","us","India","32D1F6"
