"Event Category","Event Action","Event Label","Event Value","Custom Event Properties","Country","Client IP Country","User ID"
"stage (App)","try","2012",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","clear","2013",,"{""last_level"":21}","kr","South Korea","YPNIQF"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":2,""revive_type"":""REVIVAL_COIN"",""stage_id"":2013}","kr","South Korea","YPNIQF"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2013}","kr","South Korea","YPNIQF"
"stage (App)","try","2013",,"{""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","clear","6002",,"{""last_level"":21}","kr","South Korea","YPNIQF"
"stage (App)","try","6002",,"{""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","clear","6002",,"{""last_level"":21}","kr","South Korea","YPNIQF"
"stage (App)","try","6002",,"{""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","fail","2012",,"{""is_repeat_play"":true,""last_level"":9}","kr","South Korea","YPNIQF"
"stage (App)","try","2012",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","fail","2012",,"{""is_repeat_play"":true,""last_level"":9}","kr","South Korea","YPNIQF"
"stage (App)","try","2012",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","fail","2012",,"{""is_repeat_play"":true,""last_level"":7}","kr","South Korea","YPNIQF"
"stage (App)","try","2012",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","fail","2012",,"{""is_repeat_play"":true,""last_level"":9}","kr","South Korea","YPNIQF"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2012}","kr","South Korea","YPNIQF"
"stage (App)","fail","2012",,"{""last_level"":6}","jp","Japan","KM2T40"
"stage (App)","fail","2012",,"{""exit_type"":""voluntary_exit"",""last_level"":6}","jp","Japan","KM2T40"
"stage (App)","try","2012",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","try","3007",,"{""last_level"":0}","kr","South Korea","MIZ53Y"
"stage (App)","fail","3007",,"{""last_level"":12}","kr","South Korea","MIZ53Y"
"stage (App)","try","3007",,"{""last_level"":0}","kr","South Korea","MIZ53Y"
"stage (App)","fail","3007",,"{""last_level"":11}","kr","South Korea","MIZ53Y"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","fail","2005",,"{""last_level"":17}","jp","Japan","ELRVRU"
"stage (App)","try","2005",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","clear","2004",,"{""last_level"":21}","jp","Japan","ELRVRU"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","fail","2004",,"{""last_level"":10}","jp","Japan","ELRVRU"
"stage (App)","fail","2012",,"{""is_repeat_play"":true,""last_level"":11}","kr","South Korea","YPNIQF"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","fail","3004",,"{""last_level"":15}","jp","Japan","ELRVRU"
"stage (App)","try","2012",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","fail","3013",,"{""exit_type"":""voluntary_exit"",""last_level"":7}","kr","South Korea","YPNIQF"
"stage (App)","fail","3013",,"{""last_level"":7}","kr","South Korea","YPNIQF"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","try","3013",,"{""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","fail","3013",,"{""last_level"":11}","kr","South Korea","YPNIQF"
"stage (App)","try","3013",,"{""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","fail","3013",,"{""last_level"":9}","kr","South Korea","YPNIQF"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":3013}","kr","South Korea","YPNIQF"
"stage (App)","try","3013",,"{""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","fail","3013",,"{""last_level"":8}","kr","South Korea","YPNIQF"
"stage (App)","fail","2009",,"{""last_level"":13}","kr","South Korea","3QNLGI"
"stage (App)","try","3013",,"{""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","fail","3013",,"{""last_level"":7}","kr","South Korea","YPNIQF"
"stage (App)","try","2009",,"{""last_level"":0}","kr","South Korea","3QNLGI"
"stage (App)","try","3013",,"{""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","clear","3007",,"{""last_level"":21}","kr","South Korea","3QNLGI"
"stage (App)","try","3007",,"{""last_level"":0}","kr","South Korea","3QNLGI"
"stage (App)","fail","3004",,"{""last_level"":9}","jp","Japan","GO10XG"
"stage (App)","clear","3003",,"{""last_level"":21}","jp","Japan","ELRVRU"
"stage (App)","fail","2012",,"{""last_level"":18}","kr","South Korea","DQQ4G0"
"stage (App)","clear","3006",,"{""last_level"":21}","kr","South Korea","3QNLGI"
"stage (App)","fail","2009",,"{""last_level"":9}","jp","Japan","Z0AT7V"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","try","2009",,"{""last_level"":0}","jp","Japan","Z0AT7V"
"stage (App)","try","3006",,"{""last_level"":0}","kr","South Korea","3QNLGI"
"stage (App)","try","3003",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","clear","3002",,"{""last_level"":21}","jp","Japan","ELRVRU"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","DQQ4G0"
"stage (App)","clear","6001",,"{""last_level"":21}","jp","Japan","GO10XG"
"stage (App)","fail","2012",,"{""last_level"":21}","kr","South Korea","DQQ4G0"
"stage (App)","clear","2008",,"{""last_level"":21}","kr","South Korea","3QNLGI"
"stage (App)","try","3002",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","try","2008",,"{""last_level"":0}","kr","South Korea","3QNLGI"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","DQQ4G0"
"stage (App)","fail","2012",,"{""last_level"":10}","kr","South Korea","DQQ4G0"
"stage (App)","fail","3010",,"{""is_repeat_play"":true,""last_level"":9}","kr","South Korea","I6CUG2"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","DQQ4G0"
"stage (App)","fail","3012",,"{""last_level"":9}","kr","South Korea","DQQ4G0"
"stage (App)","try","3010",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","I6CUG2"
"stage (App)","try","3012",,"{""last_level"":0}","kr","South Korea","DQQ4G0"
"stage (App)","fail","2012",,"{""last_level"":10}","kr","South Korea","DQQ4G0"
"stage (App)","fail","2012",,"{""last_level"":13}","kr","South Korea","XZW0VW"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2012}","kr","South Korea","XZW0VW"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","DQQ4G0"
"stage (App)","fail","2012",,"{""last_level"":9}","kr","South Korea","DQQ4G0"
"stage (App)","try","6001",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","6002",,"{""last_level"":3}","jp","Japan","GO10XG"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","YZR55E"
"stage (App)","fail","2004",,"{""last_level"":18}","jp","Japan","YZR55E"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","DQQ4G0"
"stage (App)","try","6002",,"{""last_level"":0}","jp","Japan","GO10XG"
